#{"t_start": 1648476916.1027277, "env_id": "CarRacing-v0"}
r,l,t
30.434783,1000,1406.124286
-60.784314,1000,1413.117287
-42.95302,1000,1420.459803
-16.967509,1000,1428.792362
-14.396887,1000,1436.390358
-26.517572,1000,1443.941386
-24.657534,1000,1451.258909
15.625,1000,1459.28697
-18.518519,1000,1467.218012
-27.899687,1000,1474.458012
114.788732,1000,1481.726012
110.169492,1000,1489.58212
8.196721,1000,1496.775117
-13.49481,1000,1504.259635
-33.121019,1000,1512.000635
-87.341772,1000,1519.922635
-17.197452,1000,1527.271634
-32.098765,1000,1535.009637
85.873606,1000,1542.226635
-56.521739,1000,1549.360151
-48.275862,1000,1557.297672
-69.96997,1000,1565.204671
49.019608,1000,1572.548671
-56.709957,1000,1579.882671
-29.292929,1000,1587.13567
27.737226,1000,1594.345673
32.911392,1000,1601.562193
-7.142857,1000,1609.852219
-73.509934,1000,1616.901218
-14.772727,1000,1624.344221
153.424658,1000,1632.281222
-21.501706,1000,1641.06122
35.036496,1000,1648.873705
-9.385113,1000,1658.014787
14.391144,1000,1666.070791
108.333333,1000,1673.659786
-18.75,1000,1681.142786
-32.038835,1000,1688.54479
-7.534247,1000,1698.433308
27.035831,1000,1706.019827
-64.664311,1000,1713.725827
-8.474576,1000,1721.369825
30.434783,1000,1729.797826
3.174603,1000,1738.806828
107.017544,1000,1746.609347
-42.760943,1000,1754.432346
2.739726,1000,1761.602349
6.719368,1000,1770.339345
45.32872,1000,1779.776345
-6.896552,1000,1787.232346
-49.640288,1000,1794.618344
8.695652,1000,1802.279344
-31.034483,1000,1809.702345
-57.295374,1000,1817.174346
-61.130742,1000,1824.038345
53.846154,1000,1831.065345
-12.280702,1000,1837.875346
-11.428571,1000,1845.343347
55.378486,1000,1852.384875
41.414141,1000,1859.832874
-12.052117,1000,1867.407395
45.400593,1000,1877.04039
12.0,1000,1884.800387
17.46988,1000,1891.757388
-15.441176,1000,1898.562391
-3.225806,1000,1907.07939
-12.162162,1000,1916.871391
-48.717949,1000,1925.707393
-67.532468,1000,1935.421389
83.520599,1000,1942.570389
-25.566343,1000,1949.582388
-49.367089,1000,1957.321388
554.275093,1000,1964.373388
23.674912,1000,1971.314386
14.285714,1000,1978.584388
-23.076923,1000,1985.97239
-26.829268,1000,1993.160388
11.486486,1000,2000.391388
-24.76489,1000,2007.74739
-24.731183,1000,2014.851387
149.070632,1000,2021.893389
-46.031746,1000,2029.05839
113.793103,1000,2036.366388
-25.566343,1000,2043.467387
-16.666667,1000,2050.76239
89.189189,1000,2057.739389
-8.730159,1000,2064.979389
-45.16129,1000,2072.008389
109.558824,1000,2079.061387
-45.255474,1000,2086.463389
-17.981073,1000,2096.795905
-26.517572,1000,2104.594906
-43.143813,1000,2112.244905
135.074627,1000,2120.158905
-0.321543,1000,2127.909906
-44.827586,1000,2135.893905
110.714286,1000,2143.600908
-38.461538,1000,2150.835905
-70.909091,1000,2158.140944
-18.727915,1000,2166.066944
24.293785,1000,2173.549997
-22.330097,1000,2183.630998
-4.761905,1000,2193.542996
-63.768116,1000,2201.229998
-29.411765,1000,2209.445996
-13.194444,1000,2216.840996
13.72549,1000,2224.129998
-16.923077,1000,2232.17452
11.864407,1000,2240.01452
-63.815789,1000,2247.500518
-30.232558,1000,2254.559519
-54.545455,1000,2262.150519
55.555556,1000,2269.622519
-48.979592,1000,2277.18352
-36.241611,1000,2284.71904
95.945946,1000,2292.339043
-40.298507,1000,2299.929041
-4.411765,1000,2307.533555
18.055556,1000,2315.211558
48.387097,1000,2322.870556
15.107914,1000,2330.664641
18.644068,1000,2338.265255
0.694444,1000,2346.02177
13.333333,1000,2353.726308
173.684211,1000,2361.680308
52.317881,1000,2369.063308
209.859155,1000,2376.710309
-17.460317,1000,2384.118308
11.524164,1000,2391.523309
14.114114,1000,2398.929308
48.867314,1000,2407.503308
61.048689,1000,2415.06331
33.828996,1000,2422.424639
78.571429,1000,2429.759636
24.513619,1000,2437.220636
-68.75,1000,2444.654635
94.719472,1000,2452.359637
101.520913,1000,2459.988634
-54.385965,1000,2467.754636
76.258993,1000,2475.389639
93.91635,1000,2482.945652
12.627986,1000,2490.533654
-8.424908,1000,2498.181652
23.167155,1000,2506.361654
-19.732441,1000,2514.590655
66.037736,1000,2522.794653
92.982456,1000,2530.425195
-33.085502,1000,2537.948703
15.89404,1000,2545.799758
5.084746,1000,2553.590757
37.40458,1000,2561.339767
3.67893,1000,2568.905756
-5.511811,1000,2576.569755
0.323625,1000,2584.234266
-41.580756,1000,2592.031267
248.314607,1000,2599.725288
5.263158,1000,2607.719289
27.340824,1000,2615.399068
66.112957,1000,2623.365065
6.109325,1000,2631.347066
-22.330097,1000,2639.182064
-4.580153,1000,2646.929064
17.870722,1000,2654.228064
-40.140845,1000,2662.422064
16.838488,1000,2670.111065
-21.052632,1000,2678.128068
-47.019868,1000,2686.96012
8.761329,1000,2695.560117
9.717868,1000,2703.136119
129.559748,1000,2710.464175
19.402985,1000,2717.593155
-55.696203,1000,2724.824156
-52.542373,1000,2732.071157
72.161172,1000,2739.093153
11.47541,1000,2746.320155
204.794521,1000,2753.364156
38.408304,1000,2760.428157
25.85034,1000,2767.670665
-6.25,1000,2775.564667
242.629482,1000,2782.508664
-11.671924,1000,2789.554666
-3.703704,1000,2796.420671
32.867133,1000,2803.143666
-13.907285,1000,2810.128666
137.588652,1000,2817.152665
32.0,1000,2824.002666
-8.783784,1000,2831.175697
40.350877,1000,2838.212216
-8.794788,1000,2845.450728
74.904943,1000,2852.52773
15.254237,1000,2860.23473
-31.407942,1000,2868.100731
59.322034,1000,2875.10673
20.754717,1000,2881.950733
52.0,1000,2888.608729
10.367893,1000,2896.844729
-7.749077,1000,2903.946277
-44.444444,1000,2911.016276
238.461538,1000,2918.124274
58.671587,1000,2925.176275
67.272727,1000,2932.368798
35.135135,1000,2939.392798
-30.795848,1000,2946.6998
155.319149,1000,2953.794797
-44.029851,1000,2961.072798
-1.408451,1000,2968.139797
-14.012739,1000,2975.291799
14.173228,1000,2982.262798
111.409396,1000,2989.368796
76.829268,1000,2996.717798
2.941176,1000,3003.862796
-52.554745,1000,3011.058798
78.694158,1000,3018.273797
154.416961,1000,3025.376798
-32.58427,1000,3032.642797
-69.111969,1000,3039.581797
58.385093,1000,3046.972799
7.491857,1000,3054.050797
-57.597173,1000,3061.140797
131.316726,1000,3068.209797
-57.51634,1000,3075.272796
-40.350877,1000,3082.397344
-38.628159,1000,3089.405344
-25.081433,1000,3096.583344
-49.84326,1000,3103.738346
-30.15873,1000,3110.960867
137.942122,1000,3118.070889
-59.322034,1000,3125.09789
-11.864407,1000,3132.307441
-46.308725,1000,3139.545438
-40.251572,1000,3146.827981
7.954545,1000,3154.044979
-5.511811,1000,3161.069513
-64.516129,1000,3168.15403
220.143885,1000,3175.205029
40.562249,1000,3182.49703
79.738562,1000,3189.63403
-58.041958,1000,3196.778544
62.790698,1000,3204.002245
22.033898,1000,3211.284246
119.594595,1000,3218.381247
15.671642,1000,3225.324245
11.486486,1000,3232.61576
20.274914,1000,3239.695761
-35.185185,1000,3247.012761
15.384615,1000,3253.935761
-69.798658,1000,3261.279761
-4.918033,1000,3268.31276
-21.787709,1000,3275.609761
212.714777,1000,3282.741761
19.298246,1000,3289.741793
302.135231,1000,3296.908349
-4.38247,1000,3303.706373
131.012658,1000,3312.023893
41.689373,1000,3320.574898
-4.59364,1000,3329.202417
7.142857,1000,3337.175459
73.285199,1000,3344.103459
-14.814815,1000,3350.991493
190.540541,1000,3358.087526
24.497992,1000,3365.114528
3.585657,1000,3372.161524
2.310231,1000,3379.146038
-44.262295,1000,3386.247568
-57.264957,1000,3393.228084
-27.899687,1000,3400.496599
27.329193,1000,3407.8776
-0.70922,1000,3414.857113
-20.265781,1000,3422.269112
12.676056,1000,3429.313111
-7.348243,1000,3436.53711
-37.037037,1000,3443.568113
-6.354515,1000,3450.69011
14.814815,1000,3459.090111
-74.522293,1000,3467.258113
-12.698413,1000,3474.47811
5.839416,1000,3481.522111
49.812734,1000,3488.420113
-24.81203,1000,3495.631111
118.130312,1000,3502.871113
219.148936,1000,3509.675111
-7.051282,1000,3516.94511
-43.143813,1000,3523.984112
22.866894,1000,3530.692112
-23.780488,1000,3537.707114
-24.342105,1000,3544.680112
-38.311688,1000,3551.868114
137.113402,1000,3558.943111
-14.590747,1000,3566.091112
5.263158,1000,3573.280623
25.899281,1000,3580.425196
18.466899,1000,3587.5722
150.0,1000,3594.675196
-68.553459,1000,3601.871218
35.384615,1000,3609.091217
-16.058394,1000,3615.973215
-62.025316,1000,3623.257784
93.30855,1000,3630.212784
-71.119134,1000,3637.289786
-8.81459,1000,3644.470304
146.987952,1000,3651.799306
50.641026,1000,3658.737303
